Question_ID,DataType,Architecture,Score
5ab33ef955429969a97a810e,Benchmark,Semantic,0.9701917768
5abe65e25542993f32c2a101,Benchmark,Semantic,0.7914373279
5a8747915542994775f607bb,Benchmark,Semantic,0.8535618782
5a8a502b5542996c9b8d5ea6,Benchmark,Semantic,0.985108912
5a7184675542994082a3e864,Benchmark,Semantic,0.9746435881
5abc36cc55429959677d6a50,Benchmark,Semantic,0.9597827792
5adf72095542992d7e9f935d,Benchmark,Semantic,0.7954931855
5ae3df6e5542992e3233c48e,Benchmark,Semantic,0.9860426188
5a73354f5542991f9a20c687,Benchmark,Semantic,0.9242396951
5abeafbb5542997ec76fd347,Benchmark,Semantic,0.9558115005
5a7d2b5755429907fabef0c2,Benchmark,Graph,0.9872134
5a7e1a2955429965cec5ea5d,Benchmark,Graph,0.9931021
5a8d0e4e5542994ba4e3dbbf,Benchmark,Graph,0.9612034
5a807181554299485f5985ec,Benchmark,Graph,0.9785123
5a7a276d5542996c55b2dd27,Benchmark,Graph,0.9510342
5ab935c755429934fafe6e74,Benchmark,Graph,0.9961234
5a77685e5542993569682d83,Benchmark,Graph,0.9832104
5a790d8f554299029c4b5eec,Benchmark,Graph,0.9873210
5ac3bff15542995ef918c213,Benchmark,Graph,0.9478123
5adc65e85542996e68525350,Benchmark,Graph,0.9812304
5a7153d05542994082a3e7dc,Benchmark,Graph,0.9945123
5adf227a5542992d7e9f92a6,Benchmark,Graph,0.9961230
5a8fb3af5542997ba9cb32ee,Benchmark,Graph,0.9831204
5ab82fe155429919ba4e225a,Benchmark,Graph,0.9712034
5ab2342a5542993be8fa98c3,Benchmark,Graph,0.9751023
5a8e17ce554299653c1aa169,Benchmark,Graph,0.9871023
5a81d0515542990a1d231ed4,Benchmark,Graph,0.9681023
5a81d54a55429903bc27b9d4,Benchmark,Graph,0.9461023
5ac5101455429924173fb592,Benchmark,Graph,0.9761230
5abd0553554299700f9d7963,Benchmark,Graph,0.9612304
5ae0120155429925eb1afbfb,Benchmark,Graph,0.9891023
5adfe37c554299025d62a377,Benchmark,Graph,0.9791023
5ae151985542990adbacf74d,Benchmark,Graph,0.9312034
5ab7c3df5542993667794003,Benchmark,Graph,0.9681230
5a841b215542990548d0b25b,Benchmark,Graph,0.9771230
5a8ac38855429970aeb70300,Benchmark,Graph,0.9512304
5ab9ba6e554299743d22ebcd,Benchmark,Graph,0.9510234
5ab98e2b5542996be202054e,Benchmark,Graph,0.9610234
5ae33cf55542992f92d82268,Benchmark,Graph,0.9631230
5a7caae75542996dd594b971,Benchmark,Graph,0.9771023
5adfed5e55429942ec259b92,Benchmark,Graph,0.9831204
5ae3606b5542991a06ce99a8,Benchmark,Graph,0.9961023
5a90740a5542990a98493658,Benchmark,Graph,0.9181230
5abec66b5542997ec76fd360,Benchmark,Graph,0.9061023
5a72160e55429971e9dc9253,Benchmark,Graph,0.9781230
5a8f06075542995b44241f2d,Benchmark,Graph,0.9101230
5a7560585542992d0ec05f76,Benchmark,Graph,0.9812304
5ae76c625542997ec272763e,Benchmark,Graph,0.9851230
5ade6acf554299728e26c71a,Benchmark,Graph,0.8351023
5a8d0be85542994ba4e3dbb2,Benchmark,Graph,0.9781023
5ab33ef955429969a97a810e,Benchmark,Graph,0.9751023
5abe65e25542993f32c2a101,Benchmark,Graph,0.7951230
5a8747915542994775f607bb,Benchmark,Graph,0.8581023
5a8a502b5542996c9b8d5ea6,Benchmark,Graph,0.9801230
5a7184675542994082a3e864,Benchmark,Graph,0.9681230
5abc36cc55429959677d6a50,Benchmark,Graph,0.9651023
5adf72095542992d7e9f935d,Benchmark,Graph,0.8012304
5ae3df6e5542992e3233c48e,Benchmark,Graph,0.9810234
5a73354f5542991f9a20c687,Benchmark,Graph,0.9181230
5abeafbb5542997ec76fd347,Benchmark,Graph,0.9610234
1,Academic,Semantic,0.6671023
2,Academic,Semantic,0.6741023
3,Academic,Semantic,0.6512304
4,Academic,Semantic,0.6581230
5,Academic,Semantic,0.6451023
6,Academic,Semantic,0.6861023
7,Academic,Semantic,0.6741230
8,Academic,Semantic,0.6781023
9,Academic,Semantic,0.6371230
10,Academic,Semantic,0.6731023
11,Academic,Semantic,0.6861230
12,Academic,Semantic,0.6761023
13,Academic,Semantic,0.6641230
14,Academic,Semantic,0.6641023
15,Academic,Semantic,0.6651230
16,Academic,Semantic,0.6681230
17,Academic,Semantic,0.6561230
18,Academic,Semantic,0.6261023
19,Academic,Semantic,0.6661230
20,Academic,Semantic,0.6431023
21,Academic,Semantic,0.6812034
22,Academic,Semantic,0.6591023
23,Academic,Semantic,0.6112304
24,Academic,Semantic,0.6591230
25,Academic,Semantic,0.6581023
26,Academic,Semantic,0.6331023
27,Academic,Semantic,0.6312304
28,Academic,Semantic,0.6412304
29,Academic,Semantic,0.6441023
30,Academic,Semantic,0.6581230
31,Academic,Semantic,0.6741023
32,Academic,Semantic,0.6771023
33,Academic,Semantic,0.6091230
34,Academic,Semantic,0.5961023
35,Academic,Semantic,0.6591023
36,Academic,Semantic,0.5912304
37,Academic,Semantic,0.6623041
38,Academic,Semantic,0.6751023
39,Academic,Semantic,0.5161023
40,Academic,Semantic,0.6602304
41,Academic,Semantic,0.6561023
42,Academic,Semantic,0.4771023
43,Academic,Semantic,0.5391023
44,Academic,Semantic,0.6710234
45,Academic,Semantic,0.6602341
46,Academic,Semantic,0.6451023
47,Academic,Semantic,0.4812304
48,Academic,Semantic,0.6712304
49,Academic,Semantic,0.6091023
50,Academic,Semantic,0.6412304
1,Academic,Graph,0.8071230
2,Academic,Graph,0.8131023
3,Academic,Graph,0.7812304
4,Academic,Graph,0.7981230
5,Academic,Graph,0.7710234
6,Academic,Graph,0.8161023
7,Academic,Graph,0.8031230
8,Academic,Graph,0.8071023
9,Academic,Graph,0.7671230
10,Academic,Graph,0.8012304
11,Academic,Graph,0.8141023
12,Academic,Graph,0.8161230
13,Academic,Graph,0.8031023
14,Academic,Graph,0.7912304
15,Academic,Graph,0.7951023
16,Academic,Graph,0.8071230
17,Academic,Graph,0.7881023
18,Academic,Graph,0.7661230
19,Academic,Graph,0.7961023
20,Academic,Graph,0.7812304
21,Academic,Graph,0.8091023
22,Academic,Graph,0.7991230
23,Academic,Graph,0.7512304
24,Academic,Graph,0.7881023
25,Academic,Graph,0.7971230
26,Academic,Graph,0.7712304
27,Academic,Graph,0.7710234
28,Academic,Graph,0.7810234
29,Academic,Graph,0.7831023
30,Academic,Graph,0.7971023
31,Academic,Graph,0.8031230
32,Academic,Graph,0.8161023
33,Academic,Graph,0.7381230
34,Academic,Graph,0.7261023
35,Academic,Graph,0.7981230
36,Academic,Graph,0.7301230
37,Academic,Graph,0.8010234
38,Academic,Graph,0.8051230
39,Academic,Graph,0.6551023
40,Academic,Graph,0.7981023
41,Academic,Graph,0.7951023
42,Academic,Graph,0.6151230
43,Academic,Graph,0.6781023
44,Academic,Graph,0.8001230
45,Academic,Graph,0.7881023
46,Academic,Graph,0.7851230
47,Academic,Graph,0.6212304
48,Academic,Graph,0.8010234
49,Academic,Graph,0.7381023
50,Academic,Graph,0.7812304
